term,estimate,std.error,statistic,p.value,n,df,N,code,outcome,upper,lower
post24,-0.0016000909665206922,0.009889104257998153,-0.16180342777017076,0.8714611844791325,20277,61581,8145,lejob,losat,0.01107371899111141,-0.014273900924152793
post36,-0.01812185286183017,0.010597891969784628,-1.709948819397,0.08728037518662614,18131,61581,8145,lejob,losat,-0.004539612926925373,-0.031704092796734966
post48,-0.00877710110086481,0.011535880691600187,-0.7608522778200911,0.44674821851370505,15970,61581,8145,lejob,losat,0.006007336451431186,-0.023561538653160807
pre24,-0.018843492736453728,0.021174441557318933,-0.8899168691388929,0.37352204246101917,4385,18588,2934,lefrd,losat,0.008296735570542817,-0.045983721043450276
pre12,-0.02683750284814889,0.021486069158216364,-1.2490652734349093,0.21165693002189417,4625,18588,2934,lefrd,losat,7.019370684088859e-4,-0.05437694276470667
post03,-0.09735049258491085,0.033201839061161156,-2.9320813345785264,0.0033710900723016215,1525,18588,2934,lefrd,losat,-0.05478217191177893,-0.13991881325804278
post06,-0.04707731185793327,0.038786111720383105,-1.2137672421851176,0.2248520404012096,1060,18588,2934,lefrd,losat,0.0026601164475857503,-0.09681474016345229
post09,-0.032882615196486255,0.0412575270725319,-0.7970088740092853,0.42545605750841087,872,18588,2934,lefrd,losat,0.02003116530331972,-0.08579639569629223
post12,0.00984518926300898,0.039181011483255056,0.2512745049273819,0.8016046626831701,1007,18588,2934,lefrd,losat,0.06009067019519539,-0.040400291669177434
post24,-0.04274824189808834,0.023225301557355287,-1.8405893156013846,0.06569769433279209,4570,18588,2934,lefrd,losat,-0.012979516302332836,-0.07251696749384384
post36,-0.014765418675617956,0.024447787424627377,-0.6039572587556153,0.5458794294445002,3985,18588,2934,lefrd,losat,0.016570877513300008,-0.04610171486453592
post48,-0.024741523686736485,0.027437133953977507,-0.9017532125708689,0.3671996628340789,3427,18588,2934,lefrd,losat,0.010427359498020181,-0.059910406871493155
